order_id,order_date,customer_id,meal_id
1,3/27/2021,25,8
2,3/3/2021,14,7
3,1/2/2021,3,5
4,2/24/2021,8,4
5,3/3/2021,1,6
6,1/24/2021,3,4
7,3/17/2021,2,6
8,1/14/2021,8,6
9,1/8/2021,9,7
10,1/3/2021,19,1
11,2/20/2021,25,4
12,1/4/2021,24,7
13,3/22/2021,7,6
14,3/2/2021,12,6
15,3/25/2021,1,1
16,1/1/2021,25,3
17,3/23/2021,2,4
18,1/22/2021,11,6
19,1/22/2021,20,3
20,2/17/2021,9,4
21,1/17/2021,11,3
22,1/4/2021,3,2
23,2/20/2021,10,4
24,1/11/2021,13,2
25,1/4/2021,10,7
26,1/15/2021,22,3
27,3/5/2021,13,4
28,3/4/2021,14,8
29,1/7/2021,26,5
30,3/6/2021,18,8
31,1/4/2021,2,7
32,3/20/2021,14,8
33,3/20/2021,6,7
34,3/16/2021,23,4
35,3/28/2021,4,5
36,2/17/2021,25,3
37,1/12/2021,5,7
38,2/3/2021,22,6
39,3/12/2021,5,6
40,3/21/2021,18,4
41,2/20/2021,23,3
42,1/15/2021,27,8
43,2/25/2021,22,7
44,3/20/2021,6,3
45,1/27/2021,19,1
46,3/24/2021,1,5
47,3/10/2021,16,8
48,2/27/2021,19,2
49,1/4/2021,15,2
50,3/9/2021,29,6
51,1/16/2021,10,3
52,1/29/2021,7,8
53,1/28/2021,1,6
54,1/31/2021,3,8
55,3/25/2021,8,6
56,2/17/2021,3,7
57,1/31/2021,25,2
58,2/13/2021,26,5
59,3/16/2021,7,7
60,1/6/2021,2,6
61,1/20/2021,27,5
62,2/22/2021,19,5
63,1/11/2021,28,1
64,2/19/2021,23,4
65,2/26/2021,11,1
66,1/10/2021,28,3
67,3/27/2021,2,3
68,1/24/2021,5,8
69,2/27/2021,11,7
70,1/23/2021,4,3
71,2/7/2021,24,1
72,2/26/2021,28,8
73,3/18/2021,10,2
74,1/29/2021,11,2
75,3/12/2021,18,1
76,2/2/2021,1,7
77,2/5/2021,10,6
78,2/7/2021,24,6
79,2/21/2021,8,8
80,1/27/2021,3,7
81,3/7/2021,26,2
82,1/2/2021,6,2
83,1/29/2021,27,2
84,1/15/2021,28,3
85,1/24/2021,11,5
86,1/24/2021,25,2
87,2/14/2021,9,7
88,2/15/2021,17,4
89,2/12/2021,7,5
90,3/9/2021,5,7
91,3/3/2021,19,7
92,1/12/2021,26,2
93,2/23/2021,27,4
94,1/7/2021,7,1
95,1/24/2021,13,5
