,OrderID,OrderDate
0,10248,1994-08-04
1,10254,1994-08-11
2,10269,1994-08-31
3,10297,1994-10-05
4,10320,1994-11-03
5,10333,1994-11-18
6,10358,1994-12-21
7,10359,1994-12-22
8,10372,1995-01-04
9,10378,1995-01-10
10,10397,1995-01-27
11,10463,1995-04-04
12,10474,1995-04-13
13,10477,1995-04-17
14,10529,1995-06-07
15,10549,1995-06-27
16,10569,1995-07-17
17,10575,1995-07-21
18,10607,1995-08-22
19,10648,1995-09-28
20,10649,1995-09-28
21,10650,1995-09-29
22,10654,1995-10-03
23,10675,1995-10-20
24,10711,1995-11-21
25,10714,1995-11-22
26,10721,1995-11-29
27,10730,1995-12-06
28,10761,1996-01-02
29,10812,1996-02-02
30,10823,1996-02-09
31,10841,1996-02-20
32,10851,1996-02-26
33,10866,1996-03-05
34,10869,1996-03-06
35,10870,1996-03-06
36,10872,1996-03-07
37,10874,1996-03-08
38,10899,1996-03-22
39,10922,1996-04-02
40,10954,1996-04-16
41,11043,1996-05-22
